date,stock_symbol,open,high,low,close,volume,market_cap,pe_ratio,dividend_yield,sector,analyst_rating,price_change_pct
2040-09-23,AAPL,185.88409174070418,327.76902162265094,445.5431831251047,382.74866038720455,39879554,553626571023.2472,28.976201637875818,1.6792542815636635,Tech,Buy,5.140911181842782
2059-01-07,META,205.93312503298574,546.1118810638411,236.68039620139476,254.919656177736,9912499,462707771960.30756,48.44737044734129,0.9575989661768475,Finance,Hold,-2.105832701481818
2035-11-22,AAPL,207.32412411779757,169.64966633387422,187.56229382096055,365.8243592091901,25141428,1040293402715.0941,17.356908781543275,2.0130712186213993,Tech,Buy,-8.65147939020555
2042-02-06,MSFT,395.821380663296,179.19566494914957,447.493499060283,419.5692966170036,74636858,462082442074.42004,37.93129119113787,4.490726842093123,Finance,Buy,-3.34690470542673
2048-09-13,NVDA,251.8973457587419,328.3966363456,112.43831148411859,261.16603304841414,29603153,1465793697753.7053,16.880379620665295,1.2003368511505774,Tech,Buy,-1.8995751005041974
2029-12-05,AAPL,475.23320754804246,410.07420078172436,123.8815390398572,185.63268020674917,61173506,254916386618.9669,10.576046117443582,4.899290284161007,Finance,Buy,-6.369207395335119
2035-01-08,META,205.0910247207951,111.86461424774325,344.6803757831001,219.84503217151848,43960756,1481354531615.6572,19.530211904001934,2.2220499054804854,Healthcare,Buy,6.406676212713517
2037-08-09,AAPL,493.18658799494597,345.5014488075281,439.4571039565365,319.51427333020587,4572086,1277892808404.8132,21.111402839263853,1.139981175849597,Tech,Buy,6.112162386811853
2055-10-26,NFLX,299.90014297995486,105.62761181279807,439.55388281973694,269.4520239138667,86797683,955930393579.3657,46.82082840793629,3.356154498291976,Energy,Sell,-0.2338486163321285
2025-02-05,NVDA,258.2413836032836,227.04563574442363,96.8529054402533,327.64698623531774,88173389,503512571338.6562,37.99419127550286,0.028440627991983547,Healthcare,Hold,-7.96483654365489
2044-11-23,MSFT,251.16072756354563,424.998536656868,366.5092799827898,279.34684717190584,94085726,735486489178.176,16.3233639865533,3.865423259437935,Finance,Sell,1.4440620439969365
2055-10-20,META,420.3474454104825,193.43264043473488,422.786558202818,138.40797957490526,11406591,1362737541183.1912,34.73678921273896,0.9318838680435687,Tech,,-0.8069123384263577
2047-12-22,TSLA,416.657951623535,532.2047427953205,228.1504703541409,417.86442979259164,91432565,1155454310880.6755,24.965039939726438,3.10531170648348,Finance,Hold,8.709174728919564
2043-08-14,NFLX,209.65442405382896,266.67044838774086,325.3708153501234,211.66618339817282,95599040,1910385569690.052,41.664702689237316,0.5777229101844444,Finance,Buy,-3.527473755761825
2043-01-13,META,360.19562524851375,339.5055978740687,243.4328389965463,354.1973654757189,77614610,243421962865.94855,32.556588149723765,3.816927736612026,Tech,Hold,6.77712933479177
2027-07-13,AMZN,270.8995090314034,218.80514588663544,476.0538608332135,123.06282427535207,67025944,1918036592452.1707,15.70657791499373,3.72192137914016,Energy,Buy,6.597885994340945
2024-02-04,AMZN,235.26073810652966,292.82975496305204,168.0996524502164,131.5553173241284,2735219,586612121463.9028,49.512579366995865,2.1687381355519184,Tech,Buy,-1.5018181732448017
