farm_id,season,crop,state,area_hectares,rainfall_mm,fertilizer_kg,pesticide_kg,irrigation_hours,labor_days,yield_tons,market_price_per_ton,profit_inr
FARM-000000,Summer,Rice,Punjab,30.500208664656427,1483.8388134173747,481.6830504970339,18.099372239004534,127.15096009609475,193,19.36635733520476,47419,35934.67991322684
FARM-000001,Rabi,Pulses,Maharashtra,376.15603302025585,273.69794100765256,376.510351960952,6.012780553621056,74.72692234191179,97,4.0474061376649555,10834,22855.730535449205
FARM-000002,Rabi,Sugarcane,Karnataka,1.7800484685799507,435.5137391526779,293.00844269241225,28.424437539341646,21.40287580082163,113,2.7014820843436165,19255,29261.86626939749
FARM-000003,Rabi,Pulses,Maharashtra,45.450743856150496,1489.5285972511422,463.40961827091513,17.091514468137152,178.49543513479554,199,15.54834218325094,18984,60623.967138721055
FARM-000004,Rabi,Rice,Punjab,49.53670390912193,1077.3538415494424,88.19024994630048,49.4818533192104,54.35837495343798,60,19.064226389722077,47718,88638.36527500849
FARM-000005,Rabi,Cotton,Haryana,0.826543831580943,387.4297825853507,85.68312516029458,24.815766285848355,96.49649679844256,26,9.175307973545255,29415,48065.991527588
FARM-000006,Summer,Rice,,2.8500388903775757,943.4649618578675,178.4716671614166,47.31271311083003,172.76926636386796,198,11.30448858509994,35141,47288.749532607464
FARM-000007,Rabi,Rice,UP,40.533126914648065,1279.1914642324853,2.6700769049620154,14.919805924217094,194.4661378796025,159,1.6941909988624906,31665,53126.83409579284
FARM-000008,Summer,Sugarcane,Maharashtra,23.60434730672806,1497.9225763045047,175.5851732200417,10.542200677303748,171.73724609918403,71,19.6642010986481,24108,61422.89280715147
FARM-000009,Kharif,Cotton,Maharashtra,13.135188376653113,451.59919851346194,238.7821984875231,25.958458332044014,142.30812144796315,163,11.5258275099609,18131,91737.6013780984
FARM-000010,Kharif,Cotton,Punjab,1.605608384880984,886.0815100762053,61.99846716140017,17.250041316778113,150.71584156514092,132,16.76907393583074,30511,30609.766792798633
FARM-000011,Summer,Sugarcane,MP,5.061199151018,521.5077694277448,162.94500266958124,39.8428592138788,134.0782312694273,88,18.89144249168326,36979,19428.43369320475
FARM-000012,Kharif,Wheat,MP,48.40581969482704,288.7163390341059,27.14542236108619,35.72830379168077,155.09168963149997,61,17.257263280784457,23769,8889.645401130165
FARM-000013,Rabi,Wheat,Punjab,41.72775861564319,651.8880849738797,95.60872093604699,40.306107755441836,97.21971865146719,85,15.622610576625144,45038,55518.874481682775
FARM-000014,Kharif,Rice,Maharashtra,32.88724529461772,772.6193505276118,118.60726402491589,47.88362229633016,92.02871426056387,88,16.558562868899283,41082,-3858.6362731564705
FARM-000015,Kharif,Pulses,Haryana,38.45624170594602,850.4632583246907,171.39641496054335,30.330566966640877,175.81976848397466,91,14.298936209401564,32419,23131.10426833746
FARM-000016,Kharif,Rice,Haryana,37.841177300610255,619.732606419153,250.16649514420146,6.401307702676057,135.89129392927796,181,10.783109961968686,22581,41013.92347903185
FARM-000017,Rabi,Cotton,Punjab,34.14285905332666,,347.0559121271289,39.14347767363683,75.37145727025431,188,7.340619289848124,20395,65646.49650773044
FARM-000018,Kharif,Pulses,Maharashtra,33.757396784497516,924.3409178443326,176.24906323982347,4.988905587329251,133.04244485020672,110,2.988690021875188,11430,59657.22281720616
FARM-000019,Summer,Cotton,Maharashtra,24.08657956754261,946.9750508375022,148.07588754804013,24.469357380719366,79.7528209220181,106,5.639977880284325,11171,79521.37452660127
FARM-000020,Kharif,Cotton,,1.907179691586188,476.3755452060262,219.59707029020092,22.362852633395804,111.9474528526602,60,9.498439472280037,42958,14392.77503119078
FARM-000021,Summer,Rice,Punjab,495.6516659832779,403.17793710608976,429.2326110030787,10.283852629244494,90.05743969687889,34,8.503996258650462,39563,53999.30196099076
FARM-000022,Summer,Cotton,Punjab,24.753672921281893,,54.904603647130735,42.311808708280076,136.73354758625263,53,1.839479247820414,16141,33385.12153762657
FARM-000023,Summer,Wheat,Karnataka,12.331157919972654,108.92012646518145,303.4402879337102,24.638958239940877,121.21371223724917,91,7.2535161732616995,46422,66450.62168355967
FARM-000024,Rabi,Rice,MP,1.7928228196383735,940.4920415034028,80.23758849344637,2.297956461837053,96.6720781936032,176,18.905185753770734,44164,21967.70692794318
FARM-000025,Summer,Sugarcane,Punjab,25.331194014659005,880.3247541935576,130.1909127939289,11.417681114752865,46.276875791389394,174,10.995091395283456,49830,67082.16237038346
FARM-000026,Kharif,Wheat,Karnataka,15.27372737297278,1474.30947597908,247.8784379725091,6.326188722447773,3.0886997476103017,54,1.535029205970189,18076,21012.41898708909
FARM-000027,Summer,Pulses,UP,39.28030169095107,86.48488384707875,64.05923228850845,12.183192817999593,117.91418878059963,128,1.1430512466414668,47630,57573.604879517516
