transaction_id,timestamp,user_id,crypto,transaction_type,amount_crypto,amount_usd,fee_usd,wallet_balance,gas_price_gwei,is_successful,network
TX-00000000,2021-12-21 07:00:00,USER-02731,DOT,Transfer,6.749627411959562,73100.03947146454,90.26591764057838,187927.7261400924,183.47580354303255,1,Polygon
TX-00000001,2023-01-24 11:00:00,USER-01166,MATIC,Sell,4.782365287256643,201.1756525950601,80.54101197789329,218276.97838440086,109.98337781336409,1,Solana
TX-00000002,2021-12-31 08:00:00,USER-02444,SOL,Stake,1.5527371554026121,49651.49343257196,91.32431397241152,2236.0615371986305,82.51738630851949,1,Solana
TX-00000003,2021-11-21 18:00:00,USER-02213,MATIC,Transfer,2.91590310427405,23371.940392552075,69.7628757367662,70869.55789110322,10.1700198086526,0,Solana
TX-00000004,2022-03-15 05:00:00,USER-00104,SOL,Swap,6.580297156222178,36846.022193748424,81.48370170814533,242170.5821489717,132.30520992434623,1,Polygon
TX-00000005,2023-02-04 18:00:00,USER-00621,ETH,Transfer,1.1836074081353367,69150.4870086358,4.583228001995146,59483.289069380386,40.80703996683421,1,
TX-00000006,2023-09-29 18:00:00,USER-02199,MATIC,Sell,6.138030701996244,92696.97031336525,96.20667580487735,174581.3576024974,75.2767065297628,1,Polygon
,2023-01-11 09:00:00,USER-01673,ETH,Swap,1.9085229326288364,68662.52853006672,41.079118245324764,157408.90459380823,171.48373987086205,1,Solana
TX-00000008,2024-03-25 21:00:00,USER-03181,DOT,Swap,5.965511581141995,82021.11417654144,49.390330056502194,222912.11057546083,104.16472519017695,0,BSC
TX-00000009,2022-05-02 14:00:00,USER-04379,MATIC,Sell,9.169237793197105,89016.77178833866,93.08930397416184,328921.98794927774,72.54586551430614,1,Polygon
TX-00000010,2021-09-19 03:00:00,USER-01778,ADA,Sell,2.524072444884707,76184.46273034276,62.20155210278487,66819.91294710526,68.42291038305879,1,Polygon
TX-00000011,2023-09-09 12:00:00,USER-00133,ADA,Swap,4.555014352810774,82256.58299291818,60.42849927555065,391632.72681447054,79.95000768745038,1,Ethereum
TX-00000012,2022-12-23 10:00:00,USER-02255,ADA,Transfer,2.014955679440513,1362.0622711376086,20.251814191168183,123246.87636110121,76.00014688405567,1,Solana
TX-00000013,2023-09-30 17:00:00,USER-01399,MATIC,Sell,2.6079666356273905,31826.920515861922,37.93665647178685,422142.3614923361,113.50034414871554,1,BSC
TX-00000014,2023-10-20 20:00:00,USER-02979,BTC,Transfer,3.3214046666955763,8666.145226231129,78.51958290949462,484080.1132614045,186.47660460717688,1,BSC
TX-00000015,2023-05-21 10:00:00,USER-03047,DOT,Transfer,6.711716908810901,45804.85179652398,49.072441932654165,116512.84411193247,157.02104684209803,1,Polygon
TX-00000016,2021-12-01 18:00:00,USER-00863,SOL,Buy,9.835550291303903,93811.87894298103,49.90622018122238,150444.70106608077,151.6522230696303,0,
TX-00000017,2021-01-06 15:00:00,USER-02149,DOT,Buy,3.5944419439443966,70574.68215707855,48.52595822326957,896792.5143684197,169.76563436499222,1,Solana
TX-00000018,2022-02-14 22:00:00,USER-00879,ADA,Transfer,0.8685127506277958,41515.97947327392,39.682649780358574,296321.3207580185,,1,BSC
TX-00000019,2023-01-05 21:00:00,USER-02421,MATIC,Sell,5.204497634082244,99181.43321199004,29.199054428986614,123975.16574084344,142.93222732043034,1,Polygon
TX-00000020,2023-01-02 04:00:00,USER-01319,ETH,Buy,5.048221385630587,27670.869245803086,86.91862869140334,406550.60485925525,174.44224076996426,1,Polygon
TX-00000021,2021-05-18 09:00:00,USER-02406,ADA,Buy,3.7128132663268074,40185.899534822514,6.0620603425410255,2728.195163890057,135.8680944417294,1,BSC
TX-00000022,2021-02-06 03:00:00,USER-03084,SOL,Swap,4.103869131226144,96355.97137681519,95.71070886316511,139507.72410515993,133.49196328030226,1,Solana
TX-00000023,2021-01-18 02:00:00,USER-01538,BTC,Buy,9.87058798838271,18094.096894961116,63.107585107402635,64717.018975822604,160.6945439569007,1,Ethereum
TX-00000024,2022-10-26 06:00:00,USER-04344,ADA,Buy,3.26999340527139,49615.155819566695,75.00965779388535,180212.3605165369,164.8383087911724,1,Solana
TX-00000025,2023-11-17 12:00:00,USER-03340,ADA,Sell,0.3346622788104709,62843.56318963089,67.09941281255114,156977.2202117777,199.57458445201826,1,Ethereum
TX-00000026,2023-08-01 19:00:00,USER-00415,ADA,Transfer,6.165454152434521,64180.792508161096,22.227904541483593,441760.2238062879,88.13160843498366,0,BSC
TX-00000027,2021-06-14 05:00:00,USER-01242,MATIC,Swap,4.30350402776292,98987.01597071411,59.60415409843222,160499.10310089545,180.97342041298504,0,BSC
TX-00000028,2022-05-20 01:00:00,USER-03590,SOL,Stake,4.178628410867623,65083.05858675905,26.345352116187815,138359.53258806237,105.28341502854826,1,Polygon
TX-00000029,2021-08-25 19:00:00,USER-02966,MATIC,Transfer,3.4884899944124865,30433.73232606746,62.09648003080016,117016.9526901223,193.3913730138913,1,BSC
TX-00000030,2022-07-15 09:00:00,USER-03860,ETH,Sell,4.392932992863022,96878.94513459678,6.82247397465307,352095.03872643446,176.65386606783426,1,Polygon
TX-00000031,2022-06-27 16:00:00,USER-03287,DOT,Swap,1.487761349990665,50578.671059139604,5.6802305625622145,268792.6180967976,,0,Polygon
TX-00000032,2021-10-12 14:00:00,USER-00712,SOL,Sell,2.59872199644503,89637.80047855325,26.080521777484645,22008.984649855236,64.5323915440971,1,BSC
,2021-09-10 02:00:00,USER-00925,BTC,Buy,6.15905496955312,87145.5334857861,88.39720340869073,186178.22087611025,75.15872655703022,1,Polygon
TX-00000034,2021-07-27 10:00:00,USER-00022,ADA,Sell,5.567333100146129,53063.454322962,68.33315412812347,10026.855972963267,36.091574436540256,1,Polygon
TX-00000035,2023-04-04 06:00:00,USER-03511,BTC,Sell,5.552344765987282,53242.068485340686,51.429786798510655,276128.36211552087,147.00658125189568,0,Solana
TX-00000036,2022-02-26 15:00:00,USER-01391,BTC,Swap,2.8227947567937908,78144.84832376029,9.971562477220212,460996.0354820394,182.96925878876317,1,Polygon
TX-00000037,2023-02-26 18:00:00,USER-02698,BTC,Transfer,4.391150327678522,94055.97236646061,77.69825807951058,242078.47694751504,47.25374927637087,1,BSC
TX-00000038,2021-05-07 06:00:00,USER-00646,SOL,Stake,4.840242935947944,83111.3868421526,47.06268882123536,385052.1623765031,,1,Ethereum
TX-00000039,2023-05-04 18:00:00,USER-00423,DOT,Buy,0.4306851128126484,34988.291550137015,82.23482058488726,303090.8755095791,151.5198120087398,1,Ethereum
TX-00000040,2021-08-15 21:00:00,USER-03164,MATIC,Swap,2.5449579057964544,21598.385634765604,69.32134598884926,177924.87205513264,96.62495614020047,1,Polygon
TX-00000041,2024-02-21 05:00:00,USER-03256,SOL,Sell,0.7297636052054066,8499.7248915829,55.93786274699746,442289.5809195159,57.40332625819982,0,Polygon
TX-00000042,2023-09-12 02:00:00,USER-02032,ETH,Sell,7.855954986605973,59088.76867557085,13.317579131737798,308822.30658716726,145.81593922967318,1,Polygon
TX-00000043,2022-02-16 02:00:00,USER-01911,ADA,Buy,5.197331506279417,95496.26665352004,29.63157438843689,300522.7078287421,61.062250163821815,0,Polygon
TX-00000044,2021-01-12 23:00:00,USER-01422,BTC,Swap,5.089514002166542,60221.122285853075,10.042965743494861,419163.81960594706,155.38360383869752,0,Ethereum
TX-00000045,2022-07-05 13:00:00,USER-00881,ETH,Transfer,4.622097930750337,78868.40666386748,26.202514876852216,69859.00111281179,134.47683182028146,1,BSC
TX-00000046,2022-10-10 16:00:00,USER-02308,DOT,Sell,2.826669313412531,13048.888467444156,44.626674952496685,406872.9787289487,93.76624472145234,1,Solana
TX-00000047,2023-01-11 03:00:00,USER-03894,ADA,Buy,4.061070765656791,90368.20364703755,28.330992380847963,10728.517716839082,67.6283572057329,1,Polygon
TX-00000048,2023-01-28 09:00:00,USER-03567,BTC,Buy,2.615243032417728,26127.58508877012,44.999501517435654,406075.4287950328,162.09136153790118,1,BSC
TX-00000049,2021-03-16 02:00:00,USER-04106,SOL,Buy,8.8229782959026,69352.26045797132,29.680573760046155,474359.89482627274,143.88521626396752,1,BSC
TX-00000050,2024-05-26 04:00:00,USER-01083,BTC,Buy,7.5066021112172825,80171.51024172586,49.13209865840684,168518.0359025994,65.69527898853653,1,BSC
TX-00000051,2022-03-09 14:00:00,USER-03752,ADA,Stake,8.226660818069298,,86.09613954378746,410896.56271004403,15.901704967150508,0,Polygon
TX-00000052,,USER-03985,SOL,Buy,0.11587468456333691,3315.9732178580175,37.89715601398306,236524.83881828727,69.02764104411976,1,
TX-00000053,2021-02-20 08:00:00,USER-02923,DOT,Transfer,0.42759931626302383,96939.64265787878,46.79074309374461,354176.2290286192,166.4633538734772,1,
TX-00000054,2023-04-16 05:00:00,USER-01463,DOT,Transfer,5.578398887679455,66104.86573708155,42.944508888504714,3819.1453556145616,23.31409044278636,1,Solana
TX-00000055,2023-09-28 09:00:00,USER-03008,ETH,Transfer,7.52379700436443,51333.683190886186,94.68747133546961,4453583.600701889,150.65999389057117,1,Ethereum
TX-00000056,2021-08-30 17:00:00,USER-03785,ADA,Sell,0.8341252522247579,87270.65177623433,84.144931360009,282154.2102034779,143.0519058440072,1,BSC
TX-00000057,2021-11-24 15:00:00,USER-01202,DOT,Stake,9.34162134568926,2552.4691050546357,31.921333165989594,386037.8667466131,174.06225364804743,0,Ethereum
TX-00000058,2023-01-06 16:00:00,USER-01332,BTC,Sell,7.275500289379127,68002.45202669884,83.78218380092683,429225.87650732184,52.61093632046131,1,Ethereum
,2022-10-17 06:00:00,USER-02311,ADA,Sell,5.978254343109749,70669.329544142,57.958507924820886,397865.5938466079,65.98396136324864,0,Solana
TX-00000060,2024-04-10 01:00:00,USER-00342,DOT,Transfer,2.093333557178294,48686.11627351903,54.12259836922507,193893.77259492158,158.53621334853005,1,Solana
TX-00000061,2021-11-24 00:00:00,USER-00878,DOT,Stake,3.524987789606999,7770.599787568435,22.765993140334952,55258.38449668519,74.18692851396104,1,Solana
TX-00000062,2024-02-09 02:00:00,USER-00667,ADA,Stake,2.5275141585000243,63111.43841892669,82.17093376128204,22871.273928756596,188.92397491836687,0,Solana
TX-00000063,2021-04-19 21:00:00,USER-00185,MATIC,Stake,5.434383736302215,46410.46963236063,85.20567132225226,379716.1035906211,157.56935306319997,1,Solana
TX-00000064,2021-04-16 05:00:00,USER-02134,SOL,Buy,6.402651158105172,99035.94102494852,12.01649814608978,394673.42312641925,20.215128510985743,1,Polygon
TX-00000065,2023-09-24 05:00:00,USER-02555,ETH,Sell,3.7118101151754095,20238.106088568562,50.19273986532914,150243.4982598898,103.84494105391389,1,Solana
TX-00000066,2021-04-06 00:00:00,USER-00080,BTC,Buy,1.96802953787406,91418.83385565065,92.2953999449226,82257.25470981127,187.25874248894098,1,Ethereum
TX-00000067,2024-05-11 23:00:00,USER-01202,ADA,Stake,0.6507455560905131,99732.29107789532,44.8284486074289,355509.1802375297,125.44152962376796,1,Polygon
TX-00000068,2023-12-05 15:00:00,USER-03374,MATIC,Buy,6.520435494790435,39412.59830988826,38.1407263014516,206981.58917209375,14.747278146130583,1,Solana
TX-00000069,2022-02-10 09:00:00,USER-03803,ETH,Buy,4.44809846523505,,29.209904674407024,347902.8776078989,185.18863469201085,1,BSC
TX-00000070,2021-11-14 06:00:00,USER-00210,BTC,Buy,6.937895077143657,7303.046394501418,53.67054600969462,228101.50054178634,124.06197117742815,0,Ethereum
TX-00000071,2022-10-10 18:00:00,USER-02270,ADA,Swap,5.008351850411662,13863.807563028702,61.98390713536843,367855.45030554273,81.01802479041055,1,Ethereum
TX-00000072,2021-04-20 03:00:00,USER-03103,SOL,Stake,0.21496483412827558,94326.16455332508,67.32599243715735,42121.70328997705,,1,BSC
TX-00000073,2022-11-18 07:00:00,USER-04622,ETH,Transfer,2.893536801695354,99139.46655781627,33.716406987843406,50594.218181628734,101.54037657312941,0,Solana
TX-00000074,2023-03-16 03:00:00,USER-01399,MATIC,Buy,4.349464004355,63676.853322566814,62.17179209890472,222317.65068232294,63.12590127443003,1,BSC
,2023-04-09 15:00:00,USER-03416,DOT,Stake,9.81900270176303,31333.77741824219,66.99293281035112,378584.8864902184,174.03246538163847,1,Polygon
TX-00000076,2022-10-08 05:00:00,USER-02848,SOL,Transfer,3.0541432977991025,49885.140952707894,7.788380913435778,143338.88840746167,170.03307882841176,1,Solana
,2023-05-18 09:00:00,USER-01828,ETH,Transfer,7.042774381059381,91279.47238140671,88.43646892981327,319925.26731581613,118.30117887678229,0,Polygon
TX-00000078,2023-04-23 09:00:00,USER-00025,MATIC,Buy,0.03033515422906974,98527.15907592018,66.52691082878052,117857.65382894875,131.0567436019199,1,Solana
TX-00000079,2023-03-27 00:00:00,USER-00779,ETH,Swap,6.673418600225123,3876.952431713294,97.13377270031451,211329.5802644647,43.70201022454131,1,Ethereum
TX-00000080,2022-11-17 04:00:00,USER-04509,SOL,Swap,7.851349930376624,34872.55133753538,86.19259123279859,316029.3863005262,82.52419533008371,1,Polygon
TX-00000081,2024-03-10 10:00:00,USER-02813,BTC,Buy,9.943652607531103,15892.290111324346,96.02138634263008,149825.9371280746,52.570300196553696,1,Solana
TX-00000082,2021-05-11 09:00:00,USER-00793,SOL,Buy,5.594506656367485,83495.83747108329,73.77884253335138,411646.810459886,186.8518125980021,1,BSC
TX-00000083,2021-09-09 06:00:00,USER-04010,MATIC,Buy,4.043884047786017,44722.48992198967,85.59448878793798,198576.6695253585,104.39028702264324,1,Solana
TX-00000084,2021-12-23 07:00:00,USER-04617,SOL,Stake,0.9272544792958559,26719.023805768982,79.80212379700554,257105.5254384802,192.03348973536947,0,BSC
TX-00000085,2024-02-14 11:00:00,USER-02510,SOL,Sell,4.8224216220434775,44377.679378940105,12.35274845742026,221211.57185934437,17.51908865194941,1,BSC
TX-00000086,2021-12-18 21:00:00,USER-04217,BTC,Stake,4.9744118526065035,67614.04040813641,58.21097389036926,494055.6512395584,139.49928776477492,0,Solana
TX-00000087,2022-01-18 19:00:00,USER-02822,BTC,Stake,3.117199714216451,3117.4790501342904,20.83191517048189,352784.1114643706,79.21310798781977,1,BSC
TX-00000088,2022-01-04 12:00:00,USER-02227,BTC,Buy,6.693660649984248,34091.77463099655,32.97844707535385,185335.92990078885,59.83056161106213,1,Solana
TX-00000089,2023-10-20 05:00:00,USER-00079,SOL,Buy,3.7798428016153953,91410.85698185176,75.61040190972876,438608.7728801295,127.9848821385431,1,Polygon
TX-00000090,2024-04-20 14:00:00,USER-01516,DOT,Sell,6.170986774056324,70933.5579457358,64.17645059468575,102159.92130227535,56.3150421607724,1,Polygon
TX-00000091,2022-07-30 11:00:00,USER-04409,BTC,Transfer,9.472918255797685,74499.94268789532,41.853351658077,494262.95230471116,133.26469536355177,1,BSC
TX-00000092,2022-03-25 03:00:00,USER-00977,SOL,Sell,7.266207519502284,29918.824637826576,48.42536347994029,331865.3016845224,196.5262398733015,1,Ethereum
TX-00000093,2022-09-15 21:00:00,USER-00992,DOT,Stake,5.823812384199953,51441.49437473548,20.064060982513613,295205.32444578066,40.970750448303185,1,Solana
TX-00000094,2021-06-29 10:00:00,USER-04739,MATIC,Buy,2.670859047552818,64357.0298841753,1.8697335208952064,32615.239245428584,191.8001015332052,1,Solana
TX-00000095,2022-01-17 02:00:00,USER-04526,SOL,Swap,6.033098681982335,94969.01449498915,69.22424550853795,223838.91347849555,123.83742301380443,1,Polygon
