meter_id,reading_date,household_id,city,energy_kwh,peak_usage,offpeak_usage,cost_inr,temperature,household_size,has_solar,appliance_count
METER-0039,2024-04-26,HH-00110,Chennai,74.80961878251027,22.062790897512347,43.687334854097365,423.86621169313344,43.63232444193103,1.0,0,16
METER-0075,2024-03-05,HH-00449,Delhi,45.842634081032955,11.006910661751789,18.182898245914664,218.83176088236155,16.07597100326737,6.0,0,7
METER-0083,2023-03-07,HH-01762,Chennai,23.454985938254772,6.959536530434779,26.35074645752644,79.20908537326261,25.686406284894247,2.0,0,11
METER-0377,2023-08-26,HH-01333,Delhi,39.08547318912796,4.338410631172046,43.33900548285962,643.6895285939455,19.19954186932791,3.0,0,14
METER-0435,2024-05-14,HH-00493,Bangalore,69.66116543304173,42.05793876430556,25.922804073808496,775.670005344995,29.499220580651063,7.0,1,12
METER-0370,2024-01-19,HH-01171,Chennai,92.90320993873574,18.9136490356052,5.792320580770433,159.38626318117196,33.857575978845375,7.0,1,7
METER-0190,2023-02-17,HH-01330,Chennai,9.548135573137547,28.44731935211594,13.915214947826604,153.89783174618742,19.496690370886466,4.0,1,25
METER-0429,2024-01-10,HH-00387,Bangalore,33.110764367525206,2.649284586945183,34.73477850072625,286.5347063947331,37.11330502714668,6.0,0,11
METER-0127,2023-12-30,HH-01397,Delhi,81.15479187536924,17.337804714791638,35.174787935487174,853.0271617767211,34.259774351670956,7.0,1,13
METER-0198,2023-03-25,HH-00514,Mumbai,38.3031577884581,28.35862144398859,5.604792440605605,359.93361449836175,20.044707748876252,7.0,0,22
METER-0498,2024-05-06,HH-01466,Delhi,83.89223248531388,11.427423351288123,36.878522940143554,288.24517772210254,41.04828815074195,6.0,0,21
METER-0098,2023-10-27,HH-00909,Mumbai,98.7106958837612,35.67940237352143,24.265032734289484,808.0030100332365,38.136492998771374,2.0,0,25
METER-0288,2023-02-04,HH-00143,Delhi,5.859793333285476,13.707154592156169,49.48850903917259,864.6805385583043,17.235720419422705,4.0,0,19
METER-0278,2023-09-02,HH-01748,Bangalore,48.62735587338782,7.686597205769669,43.41954228850505,356.25756765441105,,1.0,0,21
METER-0169,2023-11-01,HH-01985,Bangalore,38.11052422568092,31.059227021179716,32.076000034149594,248.0752704432695,,1.0,1,10
METER-0426,2023-06-20,HH-00381,Bangalore,67.64033199764859,44.94904028167469,30.25518216374022,976.7329785809072,22.140537450195648,3.0,0,9
METER-0480,2023-02-04,HH-00891,Delhi,83.64264743245391,22.456168526784055,27.77603980580488,415.20559272877716,43.61634032977803,5.0,0,21
METER-0148,2023-02-17,HH-01292,Chennai,30.419215649772504,2.6167981414022767,15.242990858725387,163.50460068080616,,7.0,0,7
METER-0412,2024-03-07,HH-00101,Delhi,30.208924794402602,19.564849224449453,23.277226143598316,414.9274438593588,41.859047247815326,4.0,1,9
METER-0028,2023-02-05,HH-00330,Delhi,33.562380006121515,38.18611978715536,6.821166072111645,171.84003616062236,20.5018773344529,3.0,0,27
METER-0353,2023-04-20,HH-01750,Delhi,9.271188811898476,45.89769945424903,,202.85177293484438,25.021308854583523,,0,7
METER-0265,2024-03-30,HH-00329,Delhi,91.60297897968489,23.422217237488123,25.563724236160734,990.5691729889145,29.559738970004407,2.0,0,29
METER-0379,2023-06-25,HH-01956,Chennai,92.78596165072214,13.402932979241877,19.444009020472723,876.1620081169399,23.895607364971163,7.0,1,12
METER-0468,2024-02-22,HH-00272,Mumbai,82.16521485311729,49.062221210757414,46.58079911995198,432.5246890923782,43.229510762252445,6.0,1,29
METER-0324,2023-06-09,HH-01263,Mumbai,77.88194681508479,10.117869708353865,37.86708962042836,73.59180260555725,28.36358749608181,1.0,0,16
METER-0377,2024-01-13,HH-01611,Mumbai,62.5603841721571,48.57692483319077,42.593591863767635,409.13515230374543,28.386108801762056,5.0,1,12
METER-0180,2023-05-13,HH-00336,Bangalore,44.33062851481025,46.80641206021928,3.3198403951003206,213.08807106250742,23.535071420485682,7.0,1,5
METER-0090,2024-05-13,HH-01200,Chennai,58.86562380851428,2.3786432256770516,21.21373083570389,78.76197202119474,19.42475418660281,6.0,1,7
METER-0396,2023-10-12,HH-00744,Chennai,11.200606261940518,4.186348025812081,48.8165908695455,312.249214029569,37.59910373718161,4.0,0,11
METER-0245,2023-03-13,,Delhi,25.8057838367178,15.57753081056254,22.226323023030254,436.8120469813278,17.054019634949807,7.0,0,23
METER-0270,2023-09-12,HH-01664,Chennai,18.81006394998264,5.767582153720152,28.742723409281083,910.8199440031697,39.542297168287234,7.0,1,7
METER-0341,2023-06-30,HH-01885,Delhi,32.930705582998726,37.938422312205866,46.254009275296504,156.34005397296545,44.40179064568616,4.0,0,25
METER-0421,2024-03-12,,Delhi,68.46180896902749,37.190288662311055,46.72805130740696,567.6829569158427,43.734133403856696,4.0,0,14
METER-0033,2024-03-03,HH-01627,Chennai,76.84115841324635,35.087678384167795,13.289164515370722,727.3229716590729,29.0188841648351,1.0,1,22
METER-0104,2024-03-28,,Mumbai,24.016406629958293,44.589721118851465,49.05087625279664,60.006859448637314,40.0816155861298,4.0,1,23
METER-0178,2023-10-20,HH-00065,Bangalore,42.87783683532785,28.53381689011545,8.5219330981827,972.4925879128414,39.97071682081804,5.0,1,10
METER-0221,2023-04-06,HH-00634,Chennai,11.429664857213655,25.630001911754245,10.782606363204195,286.9036346949039,30.78956499728117,3.0,1,28
METER-0312,2023-08-14,HH-00035,Bangalore,45.9539215778432,2.740410881995908,49.85750885124098,675.0244880604404,32.12628157025081,7.0,0,15
METER-0181,2024-02-20,HH-01996,Mumbai,27.9029326096132,49.51763915930639,18.776011251248125,193.3611743285846,41.61498816286945,4.0,1,20
METER-0119,2023-04-05,HH-01595,Delhi,10.948997600890785,35.921459108296546,36.59515160107337,679.2652451481854,44.817905632804454,7.0,1,26
METER-0204,2024-03-02,HH-01050,Delhi,69.20904542083937,6.922482193389367,31.20127492049293,609.6770827383461,20.129274460845163,3.0,0,9
METER-0470,2023-10-21,HH-00295,Bangalore,31.56085274645073,29.77550779813146,48.80020864595186,467.27988241196243,31.077970320187752,7.0,0,6
METER-0432,2024-03-19,HH-00827,Bangalore,18.01534517499561,9.646942140799725,30.727722521423058,268.8927023723163,23.422271711444942,6.0,1,15
METER-0453,2024-03-17,HH-01228,Bangalore,51.10752704575101,17.2228083204799,36.49676396317122,925.335364751854,35.32311681384759,3.0,1,25
METER-0465,2024-04-15,HH-00127,Mumbai,34.41838915434844,14.301621145227122,36.81978772198506,553.8715432524164,33.429456729959966,,1,11
METER-0452,2023-09-16,HH-00479,Delhi,24.177207752865858,30.491883993816373,45.587844376451294,519.973345334494,29.32805135125,2.0,1,19
METER-0461,2023-01-31,HH-01529,Delhi,45.8805325810438,5.038917818880911,39.99540748437806,917.0742112795184,42.38330651299793,4.0,0,23
METER-0322,2023-09-30,HH-00834,Mumbai,18.009919548083296,9.843722476795019,31.788679122254994,435.16170614686297,16.737416679594688,3.0,0,27
METER-0193,2023-12-28,,Delhi,16.01476833365022,7.156919784786103,23.866298273888965,54.214144729751965,28.457678039407746,1.0,0,17
METER-0212,2023-09-30,HH-01272,Mumbai,60.53970982073864,37.45376578279973,44.822641526165164,144.11358189437107,33.08213111252796,7.0,0,14
METER-0123,2023-09-18,HH-00089,Mumbai,24.001169233263088,21.60988261876897,0.5940545108528816,715.99923347327,41.486650153713455,6.0,1,19
METER-0017,2024-03-03,HH-01073,Chennai,87.56590401306234,26.536326120590054,30.75307164694749,757.857366198323,27.05080312018099,7.0,0,5
METER-0398,2023-06-06,HH-00790,Bangalore,93.46482853411624,16.758010409562154,35.73107417101863,718.3249333007554,30.234529623486278,2.0,1,22
METER-0430,2023-09-08,HH-00908,Delhi,50.87060356170024,36.357281089375526,3.439819219919343,853.7340682505278,20.202734353802345,3.0,0,8
METER-0488,2023-12-22,HH-00614,Mumbai,10.835227666742483,34.36928199315648,7.285733741186517,270.0297487073401,34.09377007354286,2.0,0,11
METER-0017,2023-11-12,HH-01839,Mumbai,88.88100136855951,0.6220736013865913,21.679604714382467,168.29778307690054,19.805889380995758,,0,6
METER-0412,2023-07-29,HH-01094,Delhi,55.00465474451039,39.45781977406331,10.94806737679983,747.818336584287,40.97211256089672,7.0,1,28
METER-0337,2023-02-11,HH-00723,Mumbai,62.80470986926528,11.530353497718004,24.587308353062333,351.00606520228916,,6.0,1,12
METER-0025,2023-09-23,HH-00658,Delhi,70.03520994481303,49.410605515256464,17.797456858124143,705.6783551104759,,5.0,1,27
METER-0083,2024-02-11,HH-01289,Chennai,11.907331096252477,1.6863197032805144,7.18872697582399,870.1569758653984,28.480088744809386,3.0,1,28
METER-0378,2024-04-20,HH-00822,Bangalore,29.281602058985982,49.00019642740806,47.434647496001894,878.9473344773231,34.586626836172044,6.0,0,29
METER-0474,2024-03-29,HH-01038,Mumbai,98.06303400976859,22.955043754678066,15.104076217757578,993.7354240496658,35.93151518755435,4.0,0,20
METER-0068,2023-09-30,HH-01391,Bangalore,27.54563256950671,27.093603812780604,32.851649176005786,401.46482459397043,21.928653007055424,5.0,1,12
